date,open,high,low,close
20231115,2482.21,2487.42,2468.43,2486.67
20231116,2483.48,2491.98,2472.69,2488.18
20231117,2477.43,2481.1,2463.59,2469.85
20231120,2464.72,2499.75,2464.04,2491.2
20231121,2504.7,2517.74,2500.91,2510.42
20231122,2493.17,2516.72,2490.43,2511.7
20231123,2515.83,2522.2,2507.3,2514.96
20231124,2517.88,2521.56,2496.63,2496.63
20231127,2501.83,2511.37,2489.18,2495.66
20231128,2506.14,2522.45,2502.26,2521.76
20231129,2518.8,2523.98,2501.44,2519.81
20231130,2512.11,2535.29,2507.8,2535.29
20231201,2520.49,2520.49,2504.06,2505.01
20231204,2522.22,2525.63,2510.52,2514.95
20231205,2507.45,2509.74,2492.55,2494.28
20231206,2503.57,2509.67,2495.38,2495.38
20231207,2493.14,2499.73,2481.0,2492.07
20231208,2510.24,2521.58,2507.14,2517.85
20231211,2524.79,2528.89,2512.45,2525.36
20231212,2535.11,2543.06,2529.74,2535.27
20231213,2531.23,2531.23,2509.89,2510.66
20231214,2547.74,2549.65,2532.16,2544.18
20231215,2558.44,2574.23,2555.3,2563.56
20231218,2568.77,2573.13,2556.05,2566.86
20231219,2564.81,2570.06,2556.52,2568.55
20231220,2586.99,2615.38,2584.85,2614.3
20231221,2598.37,2610.81,2587.16,2600.02
20231222,2617.72,2621.37,2599.51,2599.51
20231226,2609.44,2612.14,2594.65,2602.59
20231227,2599.35,2613.5,2590.08,2613.5
20231228,2616.27,2655.28,2611.72,2655.28
20240102,2645.47,2675.8,2641.88,2669.81
20240103,2643.54,2643.72,2607.31,2607.31
20240104,2592.44,2602.64,2580.09,2587.02
20240105,2586.89,2592.29,2572.6,2578.08
20240108,2584.23,2591.68,2566.34,2567.82
20240109,2598.31,2599.37,2556.0,2561.24
20240110,2563.97,2568.19,2539.82,2541.98
20240111,2543.03,2557.3,2540.27,2540.27
20240112,2536.55,2543.83,2517.76,2525.05
20240115,2525.69,2536.06,2515.84,2525.99
20240116,2516.27,2524.35,2491.13,2497.59
20240117,2501.23,2503.91,2435.34,2435.9
20240118,2439.96,2453.97,2429.12,2440.04
20240119,2468.43,2479.0,2455.5,2472.74
20240122,2489.57,2490.69,2464.35,2464.35
20240123,2478.32,2482.84,2464.24,2478.61
20240124,2476.22,2476.22,2454.34,2469.69
20240125,2467.73,2474.01,2452.36,2470.34
20240126,2458.05,2502.61,2453.45,2478.56
20240129,2490.93,2516.92,2483.81,2500.65
20240130,2523.68,2528.54,2498.81,2498.81
20240131,2487.9,2502.45,2486.97,2497.09
20240201,2491.93,2542.46,2491.93,2542.46
20240202,2559.4,2615.34,2559.39,2615.31
20240205,2612.77,2612.77,2562.5,2591.31
20240206,2584.2,2599.18,2563.87,2576.2
20240207,2592.59,2625.24,2588.09,2609.58
20240208,2620.26,2629.51,2610.21,2620.32
20240213,2644.17,2656.87,2640.96,2649.64
20240214,2609.6,2627.31,2601.99,2620.42
20240215,2643.81,2643.86,2613.8,2613.8
20240216,2635.63,2648.76,2625.01,2648.76
20240219,2653.12,2683.39,2653.12,2680.26
20240220,2671.55,2673.84,2643.93,2657.79
20240221,2656.92,2670.95,2644.04,2653.31
20240222,2671.69,2671.69,2653.99,2664.27
20240223,2681.03,2694.8,2665.21,2667.7
20240226,2657.35,2659.6,2629.78,2647.08
20240227,2654.76,2654.76,2619.38,2625.05
20240228,2629.11,2657.32,2623.15,2652.29
20240229,2643.48,2647.56,2628.62,2642.36
20240304,2664.52,2682.8,2662.32,2674.27
20240305,2660.8,2684.83,2649.35,2649.4
20240306,2638.84,2649.78,2630.16,2641.49
20240307,2653.98,2660.26,2633.57,2647.62
20240308,2676.79,2688.0,2668.38,2680.35
20240311,2665.58,2677.21,2658.74,2659.84
20240312,2673.47,2686.14,2659.72,2681.81
20240313,2694.71,2701.45,2679.54,2693.57
20240314,2698.37,2718.76,2696.31,2718.76
20240315,2701.91,2705.59,2666.84,2666.84
20240318,2678.52,2688.07,2665.28,2685.84
20240319,2673.57,2673.57,2645.14,2656.17
20240320,2680.7,2692.52,2674.09,2690.14
20240321,2731.18,2755.45,2724.25,2754.86
20240322,2751.15,2763.06,2738.18,2748.56
